iteration,total_runs,obs_realization,par_realization,conc,pconc
0,982,0,0,2925.21,0
0,982,1,1,10960.4,0
0,982,2,2,3051.82,0
0,982,3,3,14656.1,0
0,982,4,4,14780.7,0
0,982,5,5,23794.2,0
0,982,6,6,38181.6,0
0,982,7,7,51820,0
0,982,8,8,18310.2,0
0,982,9,9,53082,0
0,982,10,10,3116.98,0
0,982,11,11,30404.5,0
0,982,12,12,5326.45,0
0,982,13,13,6395.12,0
0,982,14,14,33717.4,0
0,982,15,15,2943.39,0
0,982,16,16,5979.42,0
0,982,17,17,11342.9,0
0,982,18,18,6751.99,0
0,982,19,19,8749.05,0
0,982,20,20,6230.73,0
0,982,21,21,12644.6,0
0,982,22,22,20736.1,0
0,982,23,23,9739.77,0
0,982,24,24,4505.2,0
0,982,25,25,6648.68,0
0,982,26,26,7874.93,0
0,982,27,27,19906.1,0
0,982,28,28,38161.7,0
0,982,29,29,27846.7,0
0,982,30,30,9382.57,0
0,982,31,31,7015.43,0
0,982,32,32,2883.88,0
0,982,33,33,6424.81,0
0,982,34,34,16386.2,0
0,982,35,35,6655.95,0
0,982,36,36,47448.5,0
0,982,37,37,4908.07,0
0,982,38,38,2053.27,0
0,982,39,39,11756.2,0
0,982,40,40,9213.32,0
0,982,41,41,64573.1,0
0,982,42,42,19832.7,0
0,982,43,43,18718.5,0
0,982,44,44,35252.9,0
0,982,45,45,5341.99,0
0,982,46,46,8705.19,0
0,982,47,47,79790.7,0
0,982,48,48,26588.6,0
0,982,49,49,9109.67,0
0,982,50,50,27788.8,0
0,982,51,51,30434.8,0
0,982,52,52,5260.87,0
0,982,53,53,31078.1,0
0,982,54,54,15697.7,0
0,982,55,55,4410.94,0
0,982,56,56,11160.8,0
0,982,57,57,15793.5,0
0,982,58,58,15004.5,0
0,982,59,59,24007.4,0
0,982,60,60,4748.03,0
0,982,61,61,10950.8,0
0,982,62,62,4271.32,0
0,982,63,63,27083.4,0
0,982,64,64,5620.77,0
0,982,65,65,25680.5,0
0,982,66,66,5848.16,0
0,982,67,67,7705.34,0
0,982,68,68,35666.6,0
0,982,69,69,5340.84,0
0,982,70,70,7336.6,0
0,982,71,71,4442.56,0
0,982,72,72,4936.32,0
0,982,73,73,4529.99,0
0,982,74,74,23004.7,0
0,982,75,75,4798.97,0
0,982,76,76,13346.8,0
0,982,77,77,5312.93,0
0,982,78,78,64417.2,0
0,982,79,79,22497.3,0
0,982,80,80,22288.5,0
0,982,81,81,10112.3,0
0,982,82,82,9051.2,0
0,982,83,83,10387.4,0
0,982,84,84,2318.46,0
0,982,85,85,20328,0
0,982,86,86,5576.34,0
0,982,87,87,8463.72,0
0,982,88,88,22211.3,0
0,982,89,89,4121.06,0
0,982,90,90,13693.6,0
0,982,91,91,52632.7,0
0,982,92,92,9959.6,0
0,982,93,93,14622.3,0
0,982,94,94,8091.77,0
0,982,95,95,9985.98,0
0,982,96,96,2416.25,0
0,982,97,97,3815.71,0
0,982,98,98,72286.4,0
0,982,99,99,7728.4,0
0,982,100,100,18555.6,0
0,982,101,101,6316.11,0
0,982,102,102,12625.9,0
0,982,103,103,8343.21,0
0,982,104,104,2474.41,0
0,982,105,105,4714.82,0
0,982,106,106,9046.49,0
0,982,107,107,12878.8,0
0,982,108,108,14894.3,0
0,982,109,109,14530.7,0
0,982,110,110,39995.2,0
0,982,111,111,18406.5,0
0,982,113,113,4609.8,0
0,982,114,114,13329.2,0
0,982,115,115,11858,0
0,982,116,116,4965.43,0
0,982,117,117,11365.1,0
0,982,118,118,12666.8,0
0,982,119,119,14160,0
0,982,120,120,21032.7,0
0,982,121,121,57982.4,0
0,982,122,122,5270.93,0
0,982,123,123,17662.7,0
0,982,124,124,6861.03,0
0,982,125,125,8890.87,0
0,982,126,126,18346.7,0
0,982,127,127,36380.2,0
0,982,128,128,3382.47,0
0,982,129,129,5674.72,0
0,982,130,130,4626.05,0
0,982,131,131,4214.72,0
0,982,132,132,31205.2,0
0,982,133,133,4792.5,0
0,982,134,134,7442.54,0
0,982,135,135,10968.3,0
0,982,136,136,27422.5,0
0,982,137,137,17563.8,0
0,982,138,138,4463.87,0
0,982,139,139,10566.9,0
0,982,140,140,7641.76,0
0,982,142,142,11880.9,0
0,982,143,143,20106.2,0
0,982,144,144,3518.15,0
0,982,145,145,29488.6,0
0,982,146,146,12502.6,0
0,982,147,147,54117.5,0
0,982,148,148,6759.28,0
0,982,149,149,7413.05,0
0,982,150,150,5201.64,0
0,982,151,151,6993.48,0
0,982,152,152,9692.44,0
0,982,153,153,32008.3,0
0,982,154,154,12102.3,0
0,982,155,155,6169.61,0
0,982,156,156,27976.5,0
0,982,157,157,11581.7,0
0,982,158,158,14811.8,0
0,982,159,159,9662.32,0
0,982,160,160,27704.4,0
0,982,161,161,6561.67,0
0,982,162,162,4770.54,0
0,982,163,163,39847.3,0
0,982,164,164,109086,0
0,982,165,165,28210,0
0,982,166,166,3400.18,0
0,982,167,167,3036.88,0
0,982,168,168,32028.5,0
0,982,169,169,5615.89,0
0,982,170,170,25620.4,0
0,982,171,171,13432.3,0
0,982,172,172,9658.34,0
0,982,173,173,9635.52,0
0,982,174,174,3815.03,0
0,982,175,175,5244.06,0
0,982,176,176,11151.3,0
0,982,177,177,89567.8,0
0,982,178,178,5768.08,0
0,982,179,179,81770.5,0
0,982,180,180,52927.8,0
0,982,181,181,6820.9,0
0,982,182,182,20855.5,0
0,982,183,183,13441.7,0
0,982,184,184,20920.8,0
0,982,185,185,5083.22,0
0,982,186,186,9679.43,0
0,982,187,187,8056.62,0
0,982,188,188,35173.3,0
0,982,189,189,52691.6,0
0,982,190,190,11344,0
0,982,191,191,15236.1,0
0,982,192,192,5867.28,0
0,982,193,193,18802.2,0
0,982,194,194,29174.2,0
0,982,195,195,2240.24,0
0,982,196,196,23071.2,0
0,982,197,197,26398.8,0
0,982,198,198,7976.24,0
0,982,199,199,16319.6,0
0,982,200,200,4030.47,0
0,982,201,201,20544.7,0
0,982,202,202,4230.17,0
0,982,203,203,28624.3,0
0,982,204,204,3640.75,0
0,982,205,205,9021.29,0
0,982,206,206,36685.8,0
0,982,207,207,6933.21,0
0,982,208,208,8093.23,0
0,982,209,209,8273.17,0
0,982,210,210,19877.6,0
0,982,211,211,51572.1,0
0,982,212,212,93075.4,0
0,982,213,213,42316.6,0
0,982,214,214,6219.71,0
0,982,215,215,8065.93,0
0,982,216,216,24639.6,0
0,982,217,217,7283.5,0
0,982,218,218,23568,0
0,982,219,219,4328.75,0
0,982,220,220,34947.9,0
0,982,221,221,8303.41,0
0,982,223,223,30928.4,0
0,982,224,224,6056.88,0
0,982,225,225,3851.03,0
0,982,226,226,5011.17,0
0,982,227,227,13015.9,0
0,982,228,228,17094.8,0
0,982,229,229,2527.24,0
0,982,230,230,7588.2,0
0,982,231,231,11894.7,0
0,982,232,232,22172,0
0,982,233,233,11587.4,0
0,982,234,234,8278.02,0
0,982,235,235,7060.5,0
0,982,236,236,35849.9,0
0,982,237,237,9770.78,0
0,982,238,238,4596.8,0
0,982,239,239,4709.84,0
0,982,240,240,15256.6,0
0,982,241,241,11159.1,0
0,982,242,242,5572.41,0
0,982,243,243,22292,0
0,982,244,244,21999.6,0
0,982,245,245,22962,0
0,982,246,246,8273.31,0
0,982,248,248,5367.46,0
0,982,249,249,25219,0
0,982,250,250,27374.4,0
0,982,251,251,99945.8,0
0,982,252,252,11699,0
0,982,253,253,17257,0
0,982,254,254,23057.2,0
0,982,255,255,37790.1,0
0,982,256,256,10145.5,0
0,982,257,257,10812.5,0
0,982,260,260,2838.29,0
0,982,261,261,33200.6,0
0,982,262,262,5060.11,0
0,982,263,263,10843.2,0
0,982,264,264,12297,0
0,982,265,265,28731.6,0
0,982,266,266,3626.18,0
0,982,267,267,14323.5,0
0,982,268,268,33511,0
0,982,269,269,18477.8,0
0,982,270,270,5230.05,0
0,982,271,271,27978.8,0
0,982,272,272,21521.4,0
0,982,273,273,10775.9,0
0,982,274,274,22412,0
0,982,275,275,4030.78,0
0,982,276,276,9544.02,0
0,982,277,277,11094.2,0
0,982,278,278,17089.9,0
0,982,279,279,12922.3,0
0,982,280,280,24062,0
0,982,281,281,8126.59,0
0,982,282,282,10915,0
0,982,283,283,10348.7,0
0,982,284,284,1869.64,0
0,982,285,285,5043.25,0
0,982,286,286,4401.67,0
0,982,287,287,6448.67,0
0,982,288,288,18667.9,0
0,982,289,289,4220.43,0
0,982,290,290,16978.3,0
0,982,291,291,16152,0
0,982,292,292,2469.18,0
0,982,293,293,13154.5,0
0,982,294,294,9124.88,0
0,982,295,295,7726.48,0
0,982,296,296,49418.6,0
0,982,297,297,18529.2,0
0,982,298,298,37153.8,0
0,982,299,299,38114.9,0
0,982,300,300,7512.44,0
0,982,301,301,11237.4,0
0,982,302,302,22511.7,0
0,982,303,303,16424.6,0
0,982,304,304,33714.7,0
0,982,305,305,4741.13,0
0,982,306,306,22652,0
0,982,307,307,6238.1,0
0,982,308,308,11462.3,0
0,982,309,309,25748.2,0
0,982,310,310,40015.4,0
0,982,311,311,56416.5,0
0,982,312,312,5328.75,0
0,982,313,313,117433,0
0,982,314,314,3998.22,0
0,982,315,315,6238.93,0
0,982,316,316,7868.85,0
0,982,317,317,48679.2,0
0,982,318,318,6602.39,0
0,982,319,319,6675.66,0
0,982,320,320,6936.43,0
0,982,321,321,83322.3,0
0,982,322,322,4317.59,0
0,982,323,323,33202.8,0
0,982,324,324,5066.65,0
0,982,325,325,85886.7,0
0,982,326,326,15368.4,0
0,982,327,327,8570.1,0
0,982,328,328,36053.2,0
0,982,329,329,28124.4,0
0,982,330,330,6335.96,0
0,982,332,332,13558.8,0
0,982,333,333,4826.53,0
0,982,334,334,3398.24,0
0,982,335,335,37821.6,0
0,982,336,336,22155.8,0
0,982,337,337,21396,0
0,982,338,338,8107.23,0
0,982,340,340,19693.6,0
0,982,341,341,5548.79,0
0,982,343,343,37038.9,0
0,982,344,344,5921.73,0
0,982,345,345,9001.66,0
0,982,346,346,2988.16,0
0,982,347,347,19951,0
0,982,348,348,11115,0
0,982,349,349,4270.44,0
0,982,350,350,53284.4,0
0,982,351,351,8962,0
0,982,352,352,19305.8,0
0,982,353,353,6045.83,0
0,982,354,354,11910.8,0
0,982,355,355,6545.46,0
0,982,356,356,3273.5,0
0,982,357,357,23443.6,0
0,982,358,358,9598.34,0
0,982,359,359,5385.87,0
0,982,360,360,5827.58,0
0,982,361,361,16501.4,0
0,982,362,362,9714.74,0
0,982,363,363,33501.9,0
0,982,364,364,3218.63,0
0,982,365,365,18309.8,0
0,982,366,366,49811.9,0
0,982,367,367,38049.3,0
0,982,368,368,17007.2,0
0,982,369,369,72475.1,0
0,982,370,370,8472.52,0
0,982,371,371,22220.9,0
0,982,372,372,19483.2,0
0,982,373,373,13645.6,0
0,982,374,374,19155.4,0
0,982,376,376,35680.6,0
0,982,377,377,23098,0
0,982,378,378,22979.8,0
0,982,379,379,3383.83,0
0,982,380,380,27021.9,0
0,982,381,381,14824.5,0
0,982,382,382,8945.88,0
0,982,383,383,43399.4,0
0,982,384,384,1733.38,0
0,982,385,385,6386.27,0
0,982,386,386,2471.53,0
0,982,387,387,13990.2,0
0,982,388,388,13871.5,0
0,982,389,389,27459,0
0,982,390,390,4929.87,0
0,982,391,391,8507.79,0
0,982,392,392,30502.9,0
0,982,393,393,12079.9,0
0,982,394,394,12288.3,0
0,982,395,395,19322,0
0,982,396,396,22783.6,0
0,982,397,397,12376.3,0
0,982,398,398,35103.4,0
0,982,399,399,6215.08,0
0,982,400,400,16949.5,0
0,982,401,401,55237.8,0
0,982,402,402,6646.54,0
0,982,403,403,10399.9,0
0,982,404,404,10199.3,0
0,982,405,405,2947.03,0
0,982,406,406,6003.93,0
0,982,407,407,5541.69,0
0,982,408,408,16140.5,0
0,982,409,409,12648.1,0
0,982,410,410,15684.7,0
0,982,411,411,9741.73,0
0,982,412,412,7596.11,0
0,982,413,413,19413.5,0
0,982,414,414,4257.22,0
0,982,415,415,4595.15,0
0,982,416,416,7409.31,0
0,982,417,417,39098.9,0
0,982,418,418,17853.6,0
0,982,419,419,9822.5,0
0,982,420,420,18215.1,0
0,982,421,421,14641.9,0
0,982,422,422,5253.43,0
0,982,423,423,16683.7,0
0,982,424,424,39046.3,0
0,982,425,425,10279,0
0,982,426,426,23381.8,0
0,982,427,427,11076.2,0
0,982,429,429,4063.96,0
0,982,430,430,13841.1,0
0,982,431,431,35588,0
0,982,432,432,6348.57,0
0,982,433,433,10353.5,0
0,982,434,434,4149.76,0
0,982,435,435,15552.4,0
0,982,436,436,10993.4,0
0,982,437,437,12136.9,0
0,982,438,438,10389.4,0
0,982,439,439,5785.26,0
0,982,440,440,16697.3,0
0,982,441,441,8236.98,0
0,982,442,442,10036.1,0
0,982,443,443,20422.5,0
0,982,444,444,4658.22,0
0,982,445,445,4774.1,0
0,982,446,446,17752.9,0
0,982,447,447,5955.91,0
0,982,448,448,13112.5,0
0,982,449,449,24751.4,0
0,982,450,450,5584.95,0
0,982,451,451,13525.4,0
0,982,452,452,8307.17,0
0,982,453,453,23226.1,0
0,982,454,454,21359,0
0,982,455,455,8045.85,0
0,982,456,456,41842.3,0
0,982,457,457,4095.6,0
0,982,458,458,26140.3,0
0,982,459,459,36864.8,0
0,982,460,460,38362,0
0,982,461,461,5246.67,0
0,982,462,462,39410.2,0
0,982,463,463,5378.03,0
0,982,464,464,4726.86,0
0,982,465,465,3092.51,0
0,982,466,466,19458.7,0
0,982,467,467,11387.1,0
0,982,468,468,16945.1,0
0,982,469,469,6723.91,0
0,982,470,470,6366.9,0
0,982,471,471,24432.2,0
0,982,472,472,12866,0
0,982,473,473,21309.8,0
0,982,474,474,5719.8,0
0,982,475,475,19382.6,0
0,982,476,476,4676.69,0
0,982,477,477,20575.4,0
0,982,478,478,93177.6,0
0,982,479,479,7317.3,0
0,982,480,480,2640.41,0
0,982,481,481,2629.31,0
0,982,482,482,59155.9,0
0,982,483,483,27032,0
0,982,484,484,13364.4,0
0,982,485,485,7312.58,0
0,982,486,486,9338.82,0
0,982,487,487,16249.4,0
0,982,488,488,13214.3,0
0,982,489,489,39049.1,0
0,982,490,490,10681.7,0
0,982,492,492,3772.79,0
0,982,493,493,19426.7,0
0,982,494,494,40381.9,0
0,982,495,495,1909.89,0
0,982,496,496,2470.88,0
0,982,497,497,3441.67,0
0,982,498,498,8250.14,0
0,982,499,499,26929.2,0
0,982,500,500,5694.11,0
0,982,501,501,4746.75,0
0,982,502,502,2322.17,0
0,982,503,503,41341.7,0
0,982,504,504,7372.08,0
0,982,505,505,23310.5,0
